Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
77,Nelson Agholor\AghoNe00,PHI,25,WR,16,16,,1,1,100,15,0,0,0,0,1,15,15,15,15,0.9,118.7,100,0,0,15,15,0,,
78,Danny Amendola\AmenDa00,MIA,33,WR,15,15,,1,1,100,28,1,100,0,0,1,28,28,48,28,1.9,158.3,100,0,0,28,48,0,,
79,Bryan Anger\AngeBr00,TAM,30,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
80,Cole Beasley\BeasCo00,DAL,29,,16,4,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,28.6,0,0,0,0,0,,
81,Corey Bojorquez\BojoCo00,BUF,22,,8,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
82,Chris Boswell\BoswCh00,PIT,27,,15,0,,1,1,100,2,1,100,0,0,1,2,2,22,2,0.1,118.7,,0,0,2,22,0,,
83,Tyler Boyd\BoydTy00,CIN,24,WR,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.5,0,0,0,0,0,,
84,Antonio Brown *\BrowAn04,PIT,30,WR,15,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,2.7,0,0,0,0,0,,
85,Kevin Byard\ByarKe01,TEN,25,FS,16,16,,1,1,100,66,1,100,0,0,1,66,66,86,66,4.1,158.3,,0,0,66,86,0,,
86,Tarik Cohen*+\CoheTa00,CHI,23,RB,16,7,,1,1,100,1,1,100,0,0,1,1,1,21,1,0.1,118.7,100,0,0,1,21,0,,
87,Logan Cooke\CookLo00,JAX,23,,16,0,,1,1,100,4,0,0,0,0,1,4,4,4,4,0.3,83.3,,0,0,4,4,0,,
88,Eric Ebron*\EbroEr00,IND,25,TE,16,8,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,
89,Bruce Ellington\ElliBr00,2TM,27,,7,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
90,Larry Fitzgerald\FitzLa00,ARI,35,WR,16,16,,1,1,100,32,1,100,0,0,1,32,32,52,32,2,158.3,100,0,0,32,52,0,,
91,Dontrell Hilliard\HillDo00,CLE,23,,11,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,0,,
92,DeAndre Hopkins*+\HopkDe00,HOU,26,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.7,0,0,0,0,0,,
93,Darius Jennings\JennDa00,TEN,26,,16,0,,1,1,100,21,0,0,0,0,1,21,21,21,21,1.3,118.7,99.9,0,0,21,21,0,,
94,Zay Jones\JoneZa00,BUF,23,WR,16,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,
95,Sam Koch\KochSa20,BAL,36,,16,0,,1,1,100,21,0,0,0,0,1,21,21,21,21,1.3,118.7,10.7,0,0,21,21,0,,
96,Christian McCaffrey\McCaCh01,CAR,22,RB,16,16,,1,1,100,50,1,100,0,0,1,50,50,70,50,3.1,158.3,100,0,0,50,70,0,,
97,Anthony Miller\MillAn02,CHI,24,,15,4,,1,1,100,8,0,0,0,0,1,8,8,8,8,0.5,100,82.3,0,0,8,8,0,,
98,Matt Prater\PratMa20,DET,34,,16,0,,1,1,100,8,1,100,0,0,1,8,8,28,8,0.5,139.6,,0,0,8,28,0,,
99,Emmanuel Sanders\SandEm00,DEN,31,WR,12,12,,1,1,100,28,1,100,0,0,1,28,28,48,28,2.3,158.3,100,0,0,28,48,0,,
100,JK Scott\ScotJK00,GNB,23,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
101,Kenny Stills\StilKe00,MIA,26,WR,15,15,,1,1,100,3,1,100,0,0,1,3,3,23,3,0.2,118.7,100,0,0,3,23,0,,
102,Logan Thomas\ThomLo00,BUF,27,,12,3,,1,1,100,15,0,0,0,0,1,15,15,15,15,1.3,118.7,,0,0,15,15,0,,
103,Colby Wadman\WadmCo00,DEN,23,,12,0,,1,1,100,12,0,0,0,0,1,12,12,12,12,1,116.7,,0,0,12,12,0,,
104,Tress Way\WayxTr00,WAS,28,,16,0,,1,1,100,7,0,0,0,0,1,7,7,7,7,0.4,95.8,,0,0,7,7,0,,
105,Dede Westbrook\WestDe00,JAX,25,wr,16,9,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,9.1,0,0,0,0,0,,
106,Albert Wilson\WilsAl02,MIA,26,,7,3,,1,1,100,52,1,100,0,0,1,52,52,72,52,7.4,158.3,99.6,0,0,52,72,0,,
